,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.8324478218359131,0.5531010961266885,-1.5050554548986828,0.13230982007328024,-1.916506050053849,0.2516104063820227
0_founders_number,0.420441663478364,0.15011024819670407,2.8008858057940076,0.00509625493301652,0.1262309833024554,0.7146523436542725
8_age_moyen,0.015235987724450275,0.010320988298174807,1.4762140295367498,0.1398864444309807,-0.004992777624831692,0.035464753073732244
5_has_female,-0.7467368549721038,0.3608189086825344,-2.0695613145626974,0.03849344392813852,-1.4539289209309179,-0.03954478901328984
4_phd_founder,-0.035529122806591575,0.20613440054037058,-0.1723590177741019,0.863155289033631,-0.4395451238404718,0.3684868782272886
7_MBA,1.2368437747706564,0.2170790768608524,5.6976646144643075,1.2145968729406223e-08,0.8113766023261835,1.6623109472151294
3_one_founder_serial,-0.2603582515536347,0.23435525734489868,-1.110955454993133,0.2665875236444488,-0.719686115537252,0.19896961242998268
6_was_1_change_founders,0.34306396802106454,0.407448535406597,0.8419811048743066,0.3997985299947613,-0.45552048692945857,1.1416484229715875
2_ceo_profile_engineer,-0.35921539258017837,0.3474849044975882,-1.0337582667067242,0.3012491861546325,-1.0402732905667915,0.3218425054064347
2_ceo_profile_mixte,0.5474251782490804,0.21958229540946175,2.493029673582199,0.012665826070628534,0.11705178760390056,0.9777985688942603
2_ceo_profile_scientific,1.0407341835005515,0.32066630929910644,3.2455364137733302,0.0011722957078496633,0.41223976621892144,1.6692286007821815
2_ceo_profile_university,-0.6513970719419784,0.33100828436284074,-1.9679177311101304,0.04907750431803792,-1.300161387877539,-0.002632756006417769
B2B/B2C_business;consumer,-0.8487827644516227,0.5633558120982037,-1.5066548462335978,0.1318991511561673,-1.952939866645416,0.2553743377421708
B2B/B2C_consumer,-0.07255526489605335,0.36501240548730074,-0.19877479177506377,0.8424389157431142,-0.7879664335614932,0.6428559037693865
